HOLE:	M0065A
EXPEDITION:	347
TOP:	0
BOTTOM:	43.475
DEPTH_WSF    	SMTU       
m	lb
37	349.0763
37.025	349.065
37.05	349.085
37.075	349.0625
37.1	348.6275
37.125	348.0688
37.15	348.0688
37.175	349.0938
37.2	348.2987
37.225	348.0925
37.25	348.0738
37.275	348.0925
37.3	348.0763
37.325	348.4912
37.35	348.06
37.375	348.7375
37.4	348.1487
37.425	348.0775
37.45	348.5875
37.475	349.0713
37.5	349.0562
37.525	349.0725
37.55	349.0775
37.575	348.9413
37.6	348.0537
37.625	348.38
37.65	348.0587
37.675	348.9987
37.7	349.065
37.725	348.7375
37.75	348.0675
37.775	349.0725
37.8	348.465
37.825	348.06
37.85	348.0587
37.875	348.065
37.9	348.06
37.925	348.0763
37.95	347.9312
37.975	347.1363
38	346.4362
38.025	346.1825
38.05	346.1988
38.075	346.1862
38.1	346.1588
38.125	346.1675
38.15	346.0525
38.175	344.8763
38.2	344.2238
38.225	344.2487
38.25	343.6388
38.275	343.6812
38.3	343.8287
38.325	343.0612
38.35	343.045
38.375	343.07
38.4	343.07
38.425	343.0663
38.45	343.0625
38.475	342.4425
38.5	342.1162
38.525	342.1063
38.55	341.1638
38.575	341.1663
38.6	340.5787
38.625	341.1675
38.65	342.1063
38.675	342.0963
38.7	342.1112
38.725	342.1125
38.75	342.1075
38.775	342.1137
38.8	342.915
38.825	342.7062
38.85	342.1175
38.875	341.5837
38.9	341.1425
38.925	339.9413
38.95	339.0013
38.975	338.9925
39	338.2288
39.025	338.0663
39.05	337.9962
39.075	337.1063
39.1	336.33
39.125	336.0688
39.15	336.09
39.175	336.09
39.2	335.5425
39.225	334.1125
39.25	333.9662
