HOLE:	M0065A		
EXPEDITION:	347		
TOP:	14.825		
BOTTOM:	40.9		
DEPTH_WSF 	RILD       	RILM       	VEC0       
m	ohmm	ohmm	ohmm
31.775	5.954	5.9757	5.7929
31.8	5.9766	5.9973	5.8212
31.825	5.9954	6.014	5.842
31.85	6.0224	6.0329	5.8565
31.875	6.0318	6.0242	5.8572
31.9	6.0357	6.0271	5.858
31.925	6.0537	6.046	5.8699
31.95	6.0603	6.0515	5.8625
31.975	6.0645	6.0503	5.8611
32	6.0673	6.0457	5.8517
32.025	6.0811	6.0497	5.8454
32.05	6.0912	6.0507	5.8314
32.075	6.1003	6.0519	5.8375
32.1	6.115	6.0593	5.8479
32.125	6.1244	6.0542	5.828
32.15	6.1274	6.0383	5.8155
32.175	6.1177	6.0102	5.8032
32.2	6.1195	5.9917	5.7827
32.225	6.1156	5.9801	5.7673
32.25	6.1119	5.9743	5.7708
32.275	6.1046	5.9587	5.7544
32.3	6.1123	5.9597	5.7485
32.325	6.1067	5.944	5.7246
32.35	6.1095	5.9222	5.6944
32.375	6.1032	5.8941	5.6667
32.4	6.1003	5.882	5.6521
32.425	6.0993	5.8557	5.6214
32.45	6.1104	5.8315	5.5958
32.475	6.1036	5.8041	5.5728
32.5	6.1089	5.7881	5.5449
32.525	6.1268	5.7703	5.5217
32.55	6.1266	5.7462	5.4886
32.575	6.1165	5.7232	5.4603
32.6	6.1456	5.7301	5.449
32.625	6.1597	5.7214	5.4425
32.65	6.1723	5.7176	5.4217
32.675	6.212	5.7288	5.4238
32.7	6.2632	5.7511	5.4395
32.725	6.2671	5.7356	5.4198
32.75	6.3097	5.7461	5.3979
32.775	6.357	5.7585	5.3905
32.8	6.4096	5.792	5.3956
32.825	6.4559	5.8101	5.3887
32.85	6.5135	5.8391	5.3823
32.875	6.5631	5.8716	5.3883
32.9	6.6137	5.9007	5.3891
32.925	6.6593	5.9255	5.4005
32.95	6.7094	5.9648	5.409
